Vasiliki Skreta,female,1.0
Robert C. Feenstra,male,1.0
Stephen Morris,male,1.0
Igal Hendel,male,0.97
Charles A. Holt,male,1.0
Jean-Francois Houde,male,0.99
ŞEbnem Kalemli-Özcan,None,0.0
Rebecca M. Blank,female,1.0
Karel Mertens,male,0.96
Patrick Kehoe,male,1.0
R. Mark Isaac,female,1.0
Balázs Szentes,male,0.99
Simon Gilchrist,male,1.0
Michael H. Riordan,male,1.0
David W. Wilcox,male,1.0
Navin Kartik,male,1.0
Jusso Toikka,male,1.0
James E. Anderson,male,1.0
Leeat Yariv,female,1.0
Juan Ortner,male,1.0
David Card,male,1.0
Judith Chevalier,female,1.0
Stefano Dellavigna,male,1.0
Robert A. Moffitt,male,1.0
M. Scott Taylor,male,1.0
Federico Echenique,male,1.0
Roger H. Gordon,male,1.0
David Genesove,male,1.0
Esther Duflo,female,1.0
Sebnem Kalemli-Ozcan,female,0.98
Thomas N. Hubbard,male,1.0
Joshua D. Angrist,male,1.0
Ben S. Bernanke,male,0.99
Jens Ludwig,male,1.0
Arnaud Costinot,male,0.99
Romain Wacziarg,male,0.99
John Mcmillan,male,1.0
Benjamin E. Hermalin,male,1.0
Jeremy Bulow,male,1.0
Alireza Tahbaz-Salehi,male,1.0
Hal. R. Varian,None,0.0
John Leahy,male,1.0
W. Kip Viscusi,male,1.0
Robert A. Margo,male,1.0
Fiona Scott Morton,female,1.0
Carmen M. Reinhart,female,0.98
Katherine Ho,female,1.0
Kevin D. Hoover,male,1.0
Carl E. Walsh,male,1.0
David N. Weil,male,1.0
Gordon Dahl,male,1.0
Gary Solon,male,1.0
Davide.M.Sappington,None,0.0
Bruno Strulovici,male,1.0
Markus Brunnermeier,male,1.0
Arun Chandrasekhar,male,1.0
Monica Piazzesi,female,1.0
Patrick Francois,male,1.0
Robert H. Haveman,male,1.0
Timothy Feddersen,male,1.0
Goldberg,None,0.0
Enrique G. Mendoza,male,1.0
Christopher Udry,male,1.0
Botond Kó´Szegi,male,1.0
Kenneth D.West,male,1.0
 Goldberg,None,0.0
Peter N. Ireland,male,1.0
John Van Reenen,male,1.0
Timothy F. Bresnahan,male,1.0
Gene M. Grossman,male,0.87
Michellle R. Garfinkel,female,0.99
Dilip Mookherjee,male,0.99
Thomas Philippon,male,1.0
Sarah Turner,female,1.0
Rachel Croson,female,1.0
Sylvain Chassang,male,1.0
Georgy Egorov,male,0.58
R. Preston Mcafee,female,1.0
Jeffery Ely,male,1.0
David Atkin,male,1.0
Steven Stern,male,1.0
Fabrizio Perri,male,1.0
Yann Bramoulle,male,0.99
Sandra Black,female,1.0
Gordon H. Hanson,male,1.0
Suzanne A. Scotchmer,female,1.0
George W. Evans,male,1.0
Stephen G. Cecchetiti,male,1.0
Dennis N.Epple,male,1.0
Theodore C. Bergstrom,male,1.0
Paul Romer,male,1.0
Jonathan Levin,male,1.0
Jennifer F. Reinganum,female,1.0
Nageeb Ali,male,0.95
Pol Antràs,male,0.97
John D. Wilson,male,1.0
Olivier Tercieux,male,1.0
Jordi Gali,male,0.99
Eric Gould,male,1.0
Ted O’Donoghue,male,1.0
Sergio T. Rebelo,male,1.0
Colin Camerer,male,1.0
Dennis N. Epple,male,1.0
Moritz Meyer-Ter-Vehn,male,1.0
James Levinsohn,male,1.0
Katja Seim,female,0.99
Gita Gopinath,female,0.99
Dirk Krueger,male,1.0
Tomasz Strzalecki,male,1.0
Filip Matejka,male,0.99
Hilary Hoynes,female,0.87
Liran Einav,male,0.99
Brian Knight,male,1.0
Aislinn Bohren,female,1.0
Rema Hanna,female,0.88
Ming Huang,male,0.75
Lars Vilhuber,male,1.0
Erik Hurst,male,1.0
Abhijit Banerjee,male,1.0
Steven Tadelis,male,1.0
James Roberts,male,1.0
Steven Callander,male,1.0
Jane Emily Voros,female,1.0
Simon Board,male,1.0
Joseph G. Altonji,male,1.0
Adam B. Jaffe,male,1.0
Paul L. Joskow,male,1.0
Robert W. Staiger,male,1.0
Mark Gertler,male,1.0
Igal Hendal,male,0.97
Ryan Oprea,male,1.0
David K. Backus,male,1.0
Gary R. Solon,male,1.0
Judith A. Chevalier,female,1.0
Ariel Burstein,male,0.71
H. Lorne Carmichael,male,1.0
David W. Wilox,male,1.0
Fuhito Kojima,male,1.0
Daniel Gottlieb,male,1.0
Eduardo Azevedo,male,1.0
Deirdre Mccloskey,female,1.0
Nancy Gallini,female,1.0
Mark Bils,male,1.0
Botond K?Szegi,male,1.0
Thomas J. Nechyba,male,1.0
Susan Athey,female,1.0
Jennifer A. Johnson,female,1.0
Martha Bailey,female,1.0
J. David Baldwin,female,0.67
Andrew Atkeson,male,1.0
Botond KőSzegi,male,1.0
Allan Drazen,male,1.0
James B. Rebitzer,male,1.0
Hamish Low,male,1.0
Alireza Tahbaz-Selehi,male,1.0
Christian Hellwig,male,1.0
Raghuram G. Rajan,male,0.96
Ralph Braid,male,1.0
Karen K. Lewis,female,1.0
Orley Ashenfelter,male,0.99
Andrzej Skrzypacz,male,1.0
Kyle W.Bagwell,male,1.0
Amanda Pallais,female,1.0
Dora Costa,female,0.99
Ben Bernanke,male,0.99
Johannes Spinnewijn,male,1.0
Nagore Iriberri,female,0.99
Kelsey Jack,female,0.96
Matthew Mitchell,male,1.0
Giuseppe Moscarini,male,1.0
Susanto Basu,male,0.97
Matthias Doepke,male,1.0
Philip Oreopoulos,male,1.0
Alessandra Casella,female,1.0
Hanming Fang,male,1.0
Ying Fan,female,0.86
John F. Kennan,male,1.0
Jordi Gali ́,male,0.99
Pierre-Olivier Gourinchas,male,0.99
Francesco Trebbi,male,1.0
Joel Sobel,male,1.0
Esteban Rossi-Hansberg,male,1.0
Erzo F.P. Luttmer,male,1.0
Rohini Pande,female,1.0
Marianne Bertrand,female,1.0
Emmanuel Farhi,male,1.0
Bård Harstad,male,1.0
Veronica Guerrieri,female,1.0
Juusso Toikka,None,0.0
Robert J. Hodrick,male,1.0
Guido Lorenzoni,male,1.0
John Friedman,male,1.0
Anne C. Case,female,1.0
Luigi Pistaferri,male,1.0
Stephen G. Cecchetti,male,1.0
David E. M. Sappington,male,1.0
Stephen Yeaple,male,1.0
Robert H. Porter,male,1.0
Lynn Fleisher,female,0.94
Simone Galperti,female,0.77
Matthew A. Roberson,male,1.0
Ellen Mcgrattan,female,1.0
Michael D. Woodford,male,1.0
Jakub Steiner,male,1.0
Ned Augenblick,male,0.99
Gautam Gowrisankaran,male,1.0
Jesús Fernández Villaverde,male,1.0
Kaivan Munshi,male,1.0
Chinhui Juhn,female,1.0
Michael R Ransom,male,1.0
Scott Freeman,male,1.0
Alisdair Mckay,male,0.95
Balazs Szentes,male,0.94
Charles C. Brown,male,1.0
Martin S. Gaynor,male,1.0
Don Fullerton,male,1.0
Eduardo Perez-Richet,male,1.0
Jeff Wooldridge,male,1.0
Edward Schlee,male,1.0
Leah Boustan,female,1.0
Aimee Chin,female,1.0
William Fuchs,male,1.0
Ilan Kremer,male,0.82
Hal R. Varian,male,0.99
Filip MatěJka,male,0.99
Curtis R. Taylor,male,1.0
Lones Smith,male,0.98
Mark Aguiar,male,1.0
Isaiah Andrews,male,1.0
Craig Burnside,male,1.0
John C. Heaton,male,1.0
Thomas Lemieux,male,1.0
Paul. L. Joskow,None,0.0
Pinelopi Koujianou Goldberg,female,0.98
Ronny Razin,male,0.98
Janice C. Eberly,female,1.0
Michael Fishman,male,1.0
Paul R. Milgrom,male,1.0
Jeffrey C. Fuhrer,male,1.0
Vincent Crawford,male,1.0
Pietro Ortoleva,male,1.0
Robin W. Boadway,male,0.76
Nico Voigtlander,male,0.97
B. Douglas Bernheim,None,0.0
Eric Verhoogen,male,1.0
David P. Baron,male,1.0
Brent Neiman,male,1.0
Loukas Karabarbounis,male,1.0
Paul Grieco,male,1.0
Daniel Benjamin,male,1.0
Steven M. Stelling,male,1.0
Emi Nakamura,female,0.87
Valerie A. Ramey,female,1.0
Daniel Friedman,male,1.0
Holger Sieg,male,1.0
Kelly Markel,female,0.89
Justin Sydnor,male,1.0
Manuel Amador,male,1.0
Martin Eichenbaum,male,1.0
Jeremy Stein,male,1.0
Arvind Krishnamurthy,male,1.0
Alan J. Auerbach,male,1.0
Sebnem Kalemli-Özcan,female,0.98
Gary Charness,male,1.0
Kenneth D. West,male,1.0
Nina Pavcnik,female,0.99
Geoffroy De Clippel,male,0.97
Lawrence J. Christiano,male,1.0
Jeffrey Ely,male,1.0
Stephen Coate,male,1.0
Marco Bassetto,male,1.0
Stefanie Stantcheva,female,0.99
Christopher Timmins,male,1.0
Matthew D. Shapiro,male,1.0
Guido Imbens,male,1.0
Seema Jayachandran,female,1.0
Jón Steinsson,male,1.0
Rachel E. Kranton,female,1.0
Kenneth Wolpin,male,1.0
Peter J. Klenow,male,1.0
James Andreoni,male,1.0
Richard Rogerson,male,1.0
Henrik Kleven,male,1.0
Frank Schorfheide,male,1.0
John Y. Campbell,male,1.0
Rajiv Sethi,male,1.0
Michael Grubb,male,1.0
Gilat Levy,female,0.73
Rachele.Kranton,None,0.0
Amir Sufi,male,1.0
Miguel Costa-Gomes,male,1.0
Joshua Hausman,male,1.0
Ali Hortaçsu,male,0.94
Antonio Penta,male,1.0
Kathryn Spier,female,1.0
Steven N. Durlauf,male,1.0
Shelly Lundberg,female,0.97
Heski Bar-Isaac,male,1.0
Roland Fryer,male,1.0
Andrew R. Schotter,male,1.0
Timothy J. Besley,male,1.0
Alessandro Lizzeri,male,1.0
Timothy S. Fuerst,male,1.0
Nicola Persico,male,0.83
Larry Samuelson,male,1.0
Ricardo Reis,male,1.0
Marina Halac,female,0.99
Shachar Kariv,male,0.99
Michelle Deblasi,female,1.0
Gordon Hanson,male,1.0
John C. Williams,male,1.0
Botond Köszegi,male,1.0
Bart Lipman,male,1.0
Richard E. Romano,male,1.0
Christina H. Paxson,female,1.0
Valeriea.Ramey,None,0.0
Peter Schott,male,1.0
Gilbert E. Metcalf,male,1.0
Tracy R. Lewis,female,0.94
Gabriel Carroll,male,1.0
Donald Davis,male,1.0
Emmanuel Saez,male,1.0
David H. Romer,male,1.0
John Roberts,male,1.0
John A. List,male,1.0
Nancy L. Rose,female,1.0
Peter C. Reiss,male,1.0
Michelle R. Garfinkel,female,1.0
Paul Beaudry,male,1.0
Dave Donaldson,male,1.0
Qingmin Liu,male,1.0
Randall Wright,male,1.0
Oleg Itskhoki,male,1.0
Mikhail Golosov,male,1.0
Sydney Ludvigson,female,0.63
David Green,male,1.0
Mark Dean,male,1.0
A. Craig Burnside,None,0.0
Wolfgang Pesendorfer,male,1.0
Lise Vesterlund,female,0.99
Leslie Young,female,0.83
Daniel R. Vincent,male,1.0
Parag Pathak,male,1.0
Charles Engel,male,1.0
Dirk Engelmann,male,1.0
John H. Kagel,male,1.0
Roland Bénabou,male,1.0
Jesse Rothstein,male,0.99
Petra Todd,female,0.99
Kyle W. Bagwell,male,1.0
Debraj Ray,male,0.98
Charles Sprenger,male,1.0
Jonathan Parker,male,1.0
Francine D. Blau,female,1.0
Bruce Blonigen,male,1.0
Jesús Fernándezvillaverde,male,1.0
Ilya Segal,male,0.97
Giovanni Maggi,male,1.0
Aleh Tsyvinski,male,0.8
Pinelopi Koujianou,female,0.98
Daniel Diermeier,male,1.0
Ariana Mapua,female,1.0
Jordi Gal ́I,male,0.99
Pierre Yared,male,1.0
